Snake,Nstar,Nnode,l_median,b_median,Loga_part_p50
0,2812,7,213.3823342557528,-7.358874198162847,7.358212132175591
1,12081,19,249.04687578823817,-10.25112776109144,7.458849636681242
10,504,3,257.810090176856,0.5372522452560513,8.320929666666666
100,293,4,167.61067933745437,18.81269664903884,9.25922113846154
1000,888,5,122.71328346206997,-12.303949822682243,8.11301370379147
10000,498,2,93.69493629469906,-1.7072006357224656,7.4530535
10001,1318,2,56.215190607593,3.368402284280773,6.9663196
10002,409,2,325.84849032911666,-0.2872485913375441,7.997382
10003,1155,2,320.1386211976475,-2.9687770981295003,7.057806
10004,562,2,349.9767923698245,-5.118469172609,7.5337496
10005,263,2,359.8016422322194,-0.2995708014232456,7.1893654
10006,1547,4,59.38504306769818,-0.5085287637458139,8.803874
10007,877,2,150.15852256533944,52.40128780708175,8.384936
10008,582,2,16.447855869046023,-3.092957853015319,9.299514
10009,303,2,236.06206596865408,-4.633099285379163,9.387786
1001,294,3,90.0995917224344,7.440460065886105,7.710856002816901
10010,371,2,246.78368469242585,3.348187082420192,6.933057
10011,2106,2,279.6573089624553,-5.604604335774114,7.5599823
10012,404,2,99.71253780603836,-2.352276737561363,7.110378
10013,1869,2,188.75113588568044,2.6504260356860736,6.9916563
10014,410,2,261.7163219662617,-9.142628474192954,7.5294294
10015,1089,2,251.8106620425876,11.63907903228001,8.145212
10016,294,2,267.5615235893488,3.820519542364954,7.945837
10017,185,2,316.83869793372605,-3.132964324920826,8.399396
10018,932,2,104.58666481222346,2.1971264079503703,8.236683
10019,905,2,172.33157665391676,4.103665699255908,8.032047
1002,421,3,86.65807734687488,4.972020631216346,7.9243355
10020,582,2,134.63111333546254,8.296956437134732,8.074082
10021,278,2,99.46726715906416,-2.422219542071121,7.159276
10022,638,2,225.98411561493373,-4.834555207194596,7.411273
10023,791,2,279.5014653931547,-1.0357194954933435,8.2390995
10024,420,2,298.7775247226782,-11.93699271106712,8.1196165
10025,791,2,335.4683370236763,-6.255559346591856,9.287058
10026,1372,2,169.13686597510207,-0.1518170273351778,7.451025
10027,811,2,95.11860995170169,-7.103924679610955,8.45742
10028,1406,2,59.74067635773751,-0.1345262475052374,7.0513115
10029,283,2,60.116805955757805,-1.7789364127287275,7.470061
1003,193,3,106.32246069116,3.743047231302842,8.693083
10030,288,2,228.90672747101945,-3.889588855821162,7.578628
10031,761,2,249.86695145072872,3.426558800862584,7.4836965
10032,1181,2,260.06970404683653,-3.830680035061184,7.502905
10033,1023,2,274.8985526420467,-9.83261982464082,7.836779
10034,1187,2,299.8509196207302,-2.2403668460166464,7.581931
10035,754,2,299.9007985195034,-5.607987030537189,7.969339
10036,968,2,339.4602351303522,-4.049094124696731,8.958384
10037,640,2,349.16644498819926,-1.7616912828677296,7.1365023
10038,243,2,139.1208291756857,0.506867512306745,8.065592
10039,283,2,30.519033689328484,0.2136110082419727,6.882939
1004,731,10,130.03641045439005,-11.556833708614176,7.710447999999999
10040,702,2,126.72824628770576,2.78908355962732,8.203878
10041,1373,4,77.83176299336658,2.5509767735489,6.6650624
10042,799,2,27.300098982315124,-2.772097981954833,7.727803
1005,404,4,131.18936246875364,-1.4918517500664117,8.131001666666666
1006,775,5,175.8438326874864,-12.414457539416032,6.569097886312849
1007,685,4,319.9307830202787,-2.3080248487974786,7.019046
1008,170,3,123.03478861498814,-7.583481984801294,8.291669428571428
1009,1607,3,147.7495940842049,-6.557071259101356,7.967024
101,627,5,77.9435185082115,-3.298851802658621,6.592923638271605
1010,1942,8,192.26175149518616,0.7973610770212866,8.22747215047022
1011,825,3,323.9406192271693,-2.617352205928605,7.404206720164609
1012,287,2,329.2902791766035,-1.5438450548478757,7.5191064
1013,510,4,331.48961402841667,-1.8366156574882813,7.3411745675572515
1014,1113,9,83.06201302969377,-7.332165463881793,8.2956875
1015,1432,5,112.80150998535106,0.3981534657440311,7.71216272593985
1016,288,4,10.50479872422377,5.135465373527396,9.197480628571428
1017,534,4,144.2897989404548,15.029264486815594,9.010146396226416
1018,197,3,329.84961731098963,-21.132938627525206,8.679357
1019,2700,7,99.21587749264918,-14.872018876102729,7.037226740779854
102,232,4,98.8820177041089,15.035558969102947,9.128000068965516
1020,144,3,272.00063815996003,-6.425936291361335,8.295749089552238
1021,2115,5,194.93018264908773,-4.001298756357279,7.913686967906976
1022,206,4,193.71108671742695,-4.188520497108821,8.083255235294118
1023,406,3,98.80194346922286,-4.258840876828582,7.6792583
1024,812,10,110.13747266939674,14.68649813345918,8.555702672727273
1025,519,7,91.45208312279436,-3.636554705927364,9.225200276595745
1026,680,4,106.03703711813714,-0.7461451543760396,7.818758982089553
1027,398,4,118.19045417371558,3.144215283427884,8.28616890045249
1028,163,3,119.66998401013022,-3.3961030348292534,7.938982788750001
1029,2830,7,221.81044494533785,-1.221253967320902,7.834445343443709
103,321,6,346.2246872591388,-5.264964692458044,8.188567215686275
1030,338,6,293.59550639961554,5.274369861662822,8.293206129032258
1031,535,5,279.57504514809733,7.633162392191188,7.811509791820581
1032,260,3,225.59152707191288,-38.50867342856251,9.397873
1033,546,7,32.528769842132306,1.0873605574726903,8.386103622222222
1034,489,3,59.471126378472576,3.928423420570732,8.554724
1035,392,5,18.371580253627798,-3.193414488261723,8.142357578947369
1036,920,6,190.5365727894281,-1.9037192686190243,8.18855674485294
1037,204,3,74.66019461211062,-0.859268398060368,9.236779847826089
1038,9531,16,337.0849613307037,14.550504865973943,7.1248016
104,816,4,37.94124986816479,-1.7067289641604115,6.510736466666667
1040,223,3,255.43444193720853,6.12536941859757,8.941244360465115
1041,325,3,254.1614896226216,-0.5704905240042983,8.914055
1042,397,3,289.5055113166069,-0.4128422826165563,7.406425017151163
1043,3785,6,132.52508080309588,-3.51718110688595,8.066961
1044,262,4,267.9004957209986,-37.63425051387294,9.59419092
1045,335,2,8.138932045947424,-2.142425431935996,6.971358
1046,1132,6,156.60537946170206,-4.8239356001310965,8.471141698795181
1047,408,3,174.1280555494025,-0.5633391330841283,8.140746
1048,1568,13,156.34932137112543,-0.1991443372691888,7.867465017647059
1049,681,4,174.51375966744888,1.0474011627949922,7.5258055
105,523,4,307.3080195837863,-33.68043243397127,9.499341922727274
1050,492,6,337.4587627439996,-4.187018232186542,8.106140090909092
1051,739,7,345.78895941914885,-5.448971521399005,8.942435
1052,252,4,354.5447223839907,-5.542325290070748,9.24369540677966
1053,186,3,3.340395080541495,-8.257789898404386,9.15940876
1054,346,4,119.4427674336838,-13.760314947311686,8.801872
1055,327,3,138.94566900082165,-9.811744527271362,8.277114470572917
1056,615,3,338.57087453095056,-4.189544192040744,7.385977755981941
1057,634,3,28.933768272952616,-7.360588649126384,7.806885965879265
1058,1327,3,143.59372881305524,-15.607809245429369,8.315808321138212
1059,479,7,320.6238667334387,-8.726258042477381,7.901252637931035
106,253,3,43.1794598889426,-14.368153607692385,9.338946995689655
1060,573,4,316.5400177410847,-4.622894738204392,8.12814764566929
1061,1563,3,26.353503266970325,-4.302527916944462,8.194019632998746
1062,266,4,322.87217586265024,-1.385303965236505,8.266747726027397
1063,349,5,102.742440612755,11.237069948309216,9.46192476923077
1064,217,3,117.29234640677824,16.752249231217018,9.276284130208332
1065,583,8,329.037631906532,-8.584293870302433,8.190672565217392
1066,1382,4,318.1779067519214,-0.6609185091082692,8.201962585597826
1067,228,5,32.84500660447964,18.88486053035545,9.273530153846153
1068,207,3,118.75062338818664,0.386949900963981,7.668299352941176
1069,496,5,350.7526802915287,2.2800497917432008,8.21687586
107,299,3,154.31490301474338,25.189946172154723,8.895952984615384
1070,1785,7,331.4394574216796,-1.743881512365177,8.073050306810284
1071,169,3,23.697584422618903,-14.289823329301036,8.348888439560438
1072,628,6,23.143470019009285,-23.741379894703,8.125138878695651
1073,293,3,70.72479893464349,14.59611340293714,9.153102311258278
1074,263,4,129.84692967177662,-4.767691092578961,9.38799821212121
1075,530,4,148.33402546667628,-9.615201475629108,7.81507
1076,640,5,324.7991141765632,-1.9206532763473687,8.211012614814816
1077,1160,5,165.62896960632142,12.45467728402968,8.30799544680851
1078,137,2,105.61470965555512,1.8497033295188128,8.407932
1079,249,3,13.060410516969911,1.776500319421513,9.07669959
108,582,10,236.35352027041117,14.527740536026974,9.151128672413794
1080,351,3,323.6874077674444,1.1925572191575335,8.152369412162162
1081,1249,6,69.34174952590496,17.102267581634067,7.879213094043887
1082,464,6,63.77508284112545,7.5190594453595345,8.614186714285713
1083,197,4,320.6900054025704,-2.665303764580865,8.505408150000001
1084,680,2,314.08329958637097,-6.161810913072416,7.5259953
1085,2376,10,95.9260404601653,0.6568539291539166,7.903431
