Snake,Nstar,Nnode,sri_final_grade,l_median,b_median,parallax_median,Loga_part_p50,median_pml_lsr,median_pmb_lsr
0,2812,7,Gold,213.3823342557528,-7.358874198162847,3.251608325104426,7.358212132175591,-2.6231469945944723,-1.7048035929229832
1,12081,19,Gold,249.04687578823817,-10.25112776109144,2.745130979572702,7.458849636681242,-5.7707543167723525,-2.226574520016484
2,5612,14,Gold,271.5215544492252,-0.755361698318286,2.3583724118563643,7.596241607526882,-8.501119400993574,-2.004080974818625
3,6883,13,Gold,105.47626870220476,4.050779286683528,1.1323671484174789,6.5647645,-5.856623848482046,0.0500374325136219
4,491,6,Bronze,342.7102986863199,-42.65487759009383,0.5995428217804383,9.620808891891892,-5.505008598225624,0.2695705374606485
5,306,5,Bronze,301.6279327468825,-61.66886009066725,0.7785354228988118,9.656543829113923,-6.350550908668614,0.5742382718505497
6,210,3,Gold,103.16307935915984,-54.05998262639183,0.8954249858400918,9.554356,-1.9489797360704009,-4.443373073926795
7,402,4,Bronze,220.24397853633545,-53.00078901401264,0.7879020637931189,9.648712905660377,2.86138108113427,1.1996696581872133
8,131,2,Gold,265.80284336062874,-38.70239303397744,0.5899729563230623,9.704208288043478,-3.24208843051071,1.378953071968531
9,174,3,Bronze,270.28316790873896,38.311908169639366,0.6073586567112272,9.610674012048191,-5.12492874302022,-3.3018503213002908
10,453,4,Gold,281.74914491176,-34.68685256610155,0.7249906424838198,9.46080098,-7.919001219242445,1.0045125585895176
11,84,2,Silver,298.6626947108888,-33.172256850427345,0.7015540777477631,9.633964739130436,-8.128713024770999,0.2069923620784782
12,444,2,Bronze,257.834593617313,0.5141845367710179,0.4452181483139512,8.245302536507936,-7.512414205795315,0.7476766668845392
13,120,2,Silver,256.88835062892485,-12.18434016888436,0.3638654769497648,7.5357842,-3.513969690910921,0.1899156761282362
14,422,3,Gold,321.68172166355646,-37.10102534652199,0.7885922651465687,9.49461802403846,-5.951352953001067,-3.5992957891875887
15,176,2,Silver,278.7735257993048,-18.17620803466404,0.421485323409841,9.167703102040816,-6.471907178115639,-0.0687013986405193
16,210,4,Bronze,260.3416396406692,10.907937030928045,0.3926555621404161,7.8192126625,-5.63042352631172,-0.1771453247540519
17,144,3,Silver,302.96499049914473,-38.96969225266952,0.8772664280491491,9.5072955,-7.841680555564017,0.8438051240722528
18,301,3,Gold,182.4113832529767,14.054735187439393,0.3865596187292638,6.651139,0.9283588773252064,-0.2506815175588386
19,126,2,Gold,298.3538311750864,73.62667435398009,1.104890810127278,9.7732284625,0.6843906677853915,-4.369458556025307
20,133,2,Bronze,113.74941196504837,36.59284006383881,0.5139419320442349,9.516637,-2.0603688520610604,1.8486342634192208
21,106,2,Bronze,346.248401583327,13.592534656203538,0.4533477659868352,8.289548,-2.24990959014597,0.1187928411859693
